tic_id,spectype,Teff,R,M,met,L
TIC 357501308,K V,4174.0,0.62,30.054380766033166,-5.12,25.582971929104804
TIC 358107516,K8 V,5144.0,0.794,30.213905745572944,-4.5,26.181761929104805
TIC 363851359,G6 V,5621.0,1.23,30.319695209430613,-4.17,26.697581929104807
TIC 364186197,F8 V,6117.0,1.53,30.416439745400314,-4.29,27.054261929104808
TIC 36452991,K3 V,4738.0,0.7,30.14976425907975,-4.46,25.997941929104805
TIC 365733349,G V,5225.0,1.01,30.247895917005586,-4.47,26.415481929104807
TIC 36724087,M3.5 V,3360.0,0.382,29.877145120328745,-4.45,24.805691929104807
TIC 368435330,G0 V,5987.0,1.043,30.343437456509832,-4.44,26.681271929104806
TIC 36853511,M3.0 V,3500.0,0.302,29.768327926338838,-4.62,24.675161929104807
TIC 371443216,A7 V,7800.0,1.92,30.54154395904697,-4.54,27.670401929104806
TIC 372172128,G V,5634.0,1.043,30.312185607651866,-4.4,26.578611929104806
TIC 374339566,M3.0 V,3420.0,0.36,29.900565901688637,-4.64,24.787091929104808
TIC 37660988,G8 V,5508.0,1.0,30.28077714340024,-4.14,26.445971929104807
TIC 376879419,M2.5 V,3499.0,0.436,29.958422110430522,-4.45,24.997941929104805
TIC 376936928,M1.5 V,3585.0,0.429,29.941958586846862,-4.86,25.030131929104805
TIC 377064495,G9 V,5372.0,0.843,30.204840952165764,-4.94,26.309701929104804
TIC 37748347,G3 V,5386.0,1.2441,30.27163376396037,-4.38,26.657971929104807
TIC 37749396,K8 V,4026.0,0.607,30.088086622525097,-5.01,25.523981929104806
TIC 380589029,F V,6346.0,1.172,30.38200853019094,-4.54,26.875231929104807
TIC 382764222,G5 V,5922.0,1.06,30.351584353844093,-4.33,26.643971929104804
TIC 383390264,F8 V,6200.0,1.19,30.38129128067712,-4.46,26.864001929104806
TIC 383675945,G5 V,5519.0,1.0,30.276229515649522,-4.31,26.360971929104807
TIC 387518186,M3.0 V,3475.0,0.431,29.93197436594026,-4.59,24.884001929104805
TIC 387690507,M0.5 V,3659.0,0.54,30.022781779961463,-4.164,25.273171929104805
TIC 390651552,M3.5 V,3291.0,0.339,29.820950143866995,-4.69,24.666471929104805
TIC 394125166,G8 V,5362.0,1.91,30.319695209430613,-4.67,27.007971929104805
TIC 394561119,F6 V,6311.0,1.81,30.428839678855677,-4.64,27.254141929104804
TIC 395393265,F4 V,6630.0,1.612,30.479205111656707,-4.258,27.236181929104806
TIC 39554091,K2.5 V,4931.0,0.782,30.195582913570092,-4.51,26.102801929104807
TIC 396562848,m3 V,3381.0,0.246,29.671417913330778,-4.67,24.437281929104806
TIC 397024052,G8 V,5330.0,0.835,30.265116897042606,-4.444,26.248551929104806
TIC 397056271,M3.0 V,3720.0,0.495,30.007775871336502,-4.8,25.216441929104807
TIC 400019820,M4.5 V,3071.0,0.2113,29.547459525856382,-4.74,24.137941929104805
TIC 404519959,M0.5-1.0 V,3728.0,0.5,30.00607608645861,-4.68,25.216441929104807
TIC 404715018,M5.0 V,3154.0,0.164,29.474597169416356,-4.67,23.987801929104805
TIC 405344271,G5 V,5688.0,1.22,30.30710608212259,-4.29,26.729101929104807
